Tenure,无投诉用户,有投诉用户,无投诉流失率,有投诉流失率
0.0,314,194,0.42356687898089174,0.7164948453608248
1.0,438,252,0.3721461187214612,0.7380952380952381
2.0,135,32,0.044444444444444446,0.25
3.0,151,44,0.039735099337748346,0.2727272727272727
4.0,147,56,0.04081632653061224,0.25
5.0,156,48,0.038461538461538464,0.20833333333333334
6.0,150,33,0.013333333333333334,0.18181818181818182
7.0,175,46,0.045714285714285714,0.17391304347826086
8.0,199,64,0.04020100502512563,0.125
9.0,381,130,0.11548556430446194,0.3769230769230769
10.0,156,57,0.0641025641025641,0.07017543859649122
11.0,131,63,0.015267175572519083,0.12698412698412698
12.0,136,46,0.022058823529411766,0.08695652173913043
13.0,142,39,0.035211267605633804,0.20512820512820512
14.0,127,49,0.031496062992125984,0.20408163265306123
15.0,110,49,0.05454545454545454,0.08163265306122448
16.0,106,43,0.05660377358490566,0.09302325581395349
17.0,69,37,0.028985507246376812,0.05405405405405406
18.0,80,43,0.025,0.09302325581395349
19.0,105,35,0.05714285714285714,0.17142857142857143
20.0,73,36,0.1095890410958904,0.2222222222222222
21.0,62,22,0.06451612903225806,0.2727272727272727
22.0,64,12,0.0,0.0
23.0,61,28,0.0,0.0
24.0,54,21,0.0,0.0
25.0,46,13,0.0,0.0
26.0,46,14,0.0,0.0
27.0,53,13,0.0,0.0
28.0,50,20,0.0,0.0
29.0,36,19,0.0,0.0
30.0,42,24,0.0,0.0
31.0,29,20,0.0,0.0
50.0,1,0,0.0,
51.0,1,0,0.0,
60.0,0,1,,0.0
61.0,0,1,,0.0
